QueryNumber,OriginalNodeID,SyntheticNodeID,OriginalCost,SyntheticCost,AssignmentError,IsDummyAssignment
9,3,3,337157.21,327242.27,0.02940746840324133,No
9,4,11,50965.91,291894.45,0.825396097801791,No
9,5,12,50965.48,50965.65,3.3355799444970046E-6,No
9,7,17,50963.2,50963.05,2.943300263605489E-6,No
9,8,18,2685.29,2685.14,5.585988850369642E-5,No
9,DUMMY,4,0.0,293470.01,1.0,Yes
9,DUMMY,5,0.0,292470.01,1.0,Yes
9,DUMMY,6,0.0,0.0,1.0,Yes
9,DUMMY,7,0.0,292470.0,1.0,Yes
9,DUMMY,8,0.0,292467.99,1.0,Yes
9,DUMMY,9,0.0,292467.56,1.0,Yes
9,DUMMY,10,0.0,292467.13,1.0,Yes
9,DUMMY,13,0.0,2.43,1.0,Yes
9,DUMMY,15,0.0,2.41,1.0,Yes
9,DUMMY,16,0.0,0.0,1.0,Yes
9,DUMMY,20,0.0,2685.12,1.0,Yes
9,DUMMY,21,0.0,0.0,1.0,Yes
9,DUMMY,22,0.0,572.68,1.0,Yes
9,DUMMY,23,0.0,25.45,1.0,Yes
9,DUMMY,24,0.0,0.0,1.0,Yes
9,DUMMY,28,0.0,0.43,1.0,Yes
10,2,11,291300.35,291894.45,0.0020353247552327043,No
10,3,10,290300.35,292467.13,0.007408627424216964,No
10,4,9,50965.91,292467.56,0.8257382459784599,No
10,5,12,50965.48,50965.65,3.3355799444970046E-6,No
10,7,17,50963.2,50963.05,2.943300263605489E-6,No
10,8,18,2685.29,2685.14,5.585988850369642E-5,No
10,DUMMY,2,0.0,327242.27,1.0,Yes
10,DUMMY,3,0.0,327242.27,1.0,Yes
10,DUMMY,4,0.0,293470.01,1.0,Yes
10,DUMMY,5,0.0,292470.01,1.0,Yes
10,DUMMY,6,0.0,0.0,1.0,Yes
10,DUMMY,7,0.0,292470.0,1.0,Yes
10,DUMMY,8,0.0,292467.99,1.0,Yes
10,DUMMY,13,0.0,2.43,1.0,Yes
10,DUMMY,15,0.0,2.41,1.0,Yes
10,DUMMY,16,0.0,0.0,1.0,Yes
10,DUMMY,20,0.0,2685.12,1.0,Yes
10,DUMMY,21,0.0,0.0,1.0,Yes
10,DUMMY,22,0.0,572.68,1.0,Yes
10,DUMMY,23,0.0,25.45,1.0,Yes
10,DUMMY,24,0.0,0.0,1.0,Yes
10,DUMMY,28,0.0,0.43,1.0,Yes
11,2,5,308040.95,292470.01,0.05054827937649199,No
11,3,4,307040.95,293470.01,0.04419912067103753,No
11,4,17,51053.94,50963.05,0.0017802739612260956,No
11,6,12,51052.34,50965.65,0.0016980612445971145,No
11,7,20,2685.72,2685.12,2.2340377999192362E-4,No
11,8,18,2685.29,2685.14,5.585988850369642E-5,No
11,DUMMY,2,0.0,327242.27,1.0,Yes
11,DUMMY,3,0.0,327242.27,1.0,Yes
11,DUMMY,6,0.0,0.0,1.0,Yes
11,DUMMY,7,0.0,292470.0,1.0,Yes
11,DUMMY,8,0.0,292467.99,1.0,Yes
11,DUMMY,9,0.0,292467.56,1.0,Yes
11,DUMMY,10,0.0,292467.13,1.0,Yes
11,DUMMY,11,0.0,291894.45,1.0,Yes
11,DUMMY,13,0.0,2.43,1.0,Yes
11,DUMMY,15,0.0,2.41,1.0,Yes
11,DUMMY,16,0.0,0.0,1.0,Yes
11,DUMMY,21,0.0,0.0,1.0,Yes
11,DUMMY,22,0.0,572.68,1.0,Yes
11,DUMMY,23,0.0,25.45,1.0,Yes
11,DUMMY,24,0.0,0.0,1.0,Yes
11,DUMMY,28,0.0,0.43,1.0,Yes
12,2,11,51968.33,291894.45,0.8219619112319538,No
12,3,10,50968.33,292467.13,0.8257297153358738,No
12,4,12,50967.9,50965.65,4.4145432713531454E-5,No
12,5,13,2.43,2.43,0.0,No
12,7,15,2.41,2.41,0.0,No
12,9,17,50963.2,50963.05,2.943300263605489E-6,No
12,10,18,2685.29,2685.14,5.585988850369642E-5,No
12,DUMMY,2,0.0,327242.27,1.0,Yes
12,DUMMY,3,0.0,327242.27,1.0,Yes
12,DUMMY,4,0.0,293470.01,1.0,Yes
12,DUMMY,5,0.0,292470.01,1.0,Yes
12,DUMMY,6,0.0,0.0,1.0,Yes
12,DUMMY,7,0.0,292470.0,1.0,Yes
12,DUMMY,8,0.0,292467.99,1.0,Yes
12,DUMMY,9,0.0,292467.56,1.0,Yes
12,DUMMY,16,0.0,0.0,1.0,Yes
12,DUMMY,20,0.0,2685.12,1.0,Yes
12,DUMMY,21,0.0,0.0,1.0,Yes
12,DUMMY,22,0.0,572.68,1.0,Yes
12,DUMMY,23,0.0,25.45,1.0,Yes
12,DUMMY,28,0.0,0.43,1.0,Yes
13,2,7,16166.98,266336.99,0.9392987808415195,No
13,3,5,16166.55,266337.73,0.939300563986935,No
13,4,4,15166.55,300111.92,0.9494636867472642,No
13,5,2,15166.13,301111.95,0.9496329189193587,No
13,7,3,15165.82,301111.95,0.9496339484367857,No
13,8,10,2.43,2.43,0.0,No
13,12,12,0.42,2.41,0.8257261410788382,No
13,DUMMY,8,0.0,32.96,1.0,Yes
13,DUMMY,9,0.0,2.86,1.0,Yes
13,DUMMY,13,0.0,0.0,1.0,Yes
14,2,7,68034.74,266417.57,0.7446311817948044,No
14,3,5,67034.74,266420.22,0.7483871907319948,No
14,4,4,50968.33,300201.78,0.8302197608555152,No
14,5,2,50967.9,301201.8,0.8307848757875949,No
14,6,10,2.43,2.43,0.0,No
14,10,3,50963.2,301201.8,0.830800479944011,No
14,11,8,2685.29,32.96,0.9877257204994618,No
14,DUMMY,9,0.0,2.86,1.0,Yes
15,2,7,36161.05,266327.64,0.8642234429742254,No
15,3,5,35161.05,266328.15,0.8679784694182722,No
15,4,4,35160.91,300101.6,0.8828366459892248,No
15,5,2,35160.48,301101.62,0.8832271975155763,No
15,7,3,35160.39,301101.62,0.8832274964179867,No
15,8,8,25.45,32.96,0.22785194174757287,No
15,13,12,0.14,2.41,0.941908713692946,No
15,DUMMY,9,0.0,2.86,1.0,Yes
15,DUMMY,10,0.0,2.43,1.0,Yes
15,DUMMY,13,0.0,0.0,1.0,Yes
16,2,7,38855.25,266314.75,0.8541002704506604,No
16,3,5,38854.82,266314.96,0.8541020001279688,No
16,4,4,38854.68,300087.54,0.8705221816274011,No
16,5,2,37854.68,301087.57,0.8742735211553238,No
16,7,3,37854.67,301087.57,0.8742735543682525,No
16,8,12,0.16,2.41,0.933609958506224,No
16,10,10,0.16,2.43,0.934156378600823,No
16,11,9,0.15,2.86,0.9475524475524476,No
16,12,15,0.14,30.0,0.9953333333333333,No
16,DUMMY,8,0.0,32.96,1.0,Yes
16,DUMMY,13,0.0,0.0,1.0,Yes
16,DUMMY,16,0.0,0.0,1.0,Yes
17,2,4,292694.82,300150.31,0.024839188072136226,No
17,3,2,291694.82,301150.34,0.03139800539491344,No
17,4,7,35352.59,266371.55,0.8672809089409136,No
17,5,5,35349.04,266373.12,0.8672950183562065,No
17,6,3,35348.61,301150.34,0.8826213843889401,No
17,8,9,35344.24,2.86,0.9999190815816099,No
17,9,8,25.45,32.96,0.22785194174757287,No
17,DUMMY,10,0.0,2.43,1.0,Yes
18,2,11,51970.36,443401.06,0.8827915296368485,No
18,3,6,50970.36,449709.41,0.8866593429743888,No
18,4,5,50969.93,449709.84,0.8866604075196576,No
18,6,4,50969.91,516331.12,0.9012844509546509,No
18,7,9,2685.57,4767.92,0.4367418077484521,No
18,8,7,2685.14,5388.18,0.5016610432465137,No
18,12,12,0.43,25.45,0.9831041257367387,No
18,DUMMY,2,0.0,517331.15,1.0,Yes
18,DUMMY,3,0.0,517331.15,1.0,Yes
18,DUMMY,10,0.0,0.0,1.0,Yes
19,2,4,53024.72,485587.65,0.8908029889145658,No
19,3,11,53024.29,37392.42,0.29480583332657545,No
19,4,6,52024.29,38010.37,0.26937263343718865,No
19,6,5,52024.28,38010.8,0.2693642276260238,No
19,7,14,3691.93,4767.92,0.22567283008104166,No
19,8,12,3691.5,4843.26,0.23780676651676766,No
19,12,7,0.43,25.45,0.9831041257367387,No
19,DUMMY,2,0.0,486587.67,1.0,Yes
19,DUMMY,3,0.0,486587.67,1.0,Yes
19,DUMMY,15,0.0,0.0,1.0,Yes
20,2,4,51970.36,484057.07,0.8926358827896058,No
20,3,11,51969.93,37366.09,0.28100557380008023,No
20,4,6,50969.93,37777.02,0.2588371222012666,No
20,6,5,50969.91,37777.45,0.2588283950275762,No
20,7,14,2685.57,4767.92,0.4367418077484521,No
20,8,12,2685.14,4816.93,0.44256196374039075,No
20,12,7,0.43,25.45,0.9831041257367387,No
20,DUMMY,2,0.0,485057.09,1.0,Yes
20,DUMMY,3,0.0,485057.09,1.0,Yes
20,DUMMY,15,0.0,0.0,1.0,Yes
21,2,4,53025.48,68695.45,0.22810782955785272,No
21,3,2,52025.48,69695.48,0.2535315059168829,No
21,4,3,52025.05,69695.48,0.25353767561397084,No
21,6,5,52024.27,18295.84,0.6483210624579643,No
21,7,7,3691.93,18295.55,0.7982061211606101,No
21,8,8,3691.5,32.96,0.9910713801977515,No
21,12,12,0.43,2.41,0.8215767634854773,No
21,DUMMY,9,0.0,2.86,1.0,Yes
21,DUMMY,10,0.0,2.43,1.0,Yes
21,DUMMY,13,0.0,0.0,1.0,Yes
22,2,4,51970.44,68690.3,0.24340933144854512,No
22,3,2,50970.44,69690.33,0.26861531578340925,No
22,4,3,50970.01,69690.33,0.2686214859364276,No
22,6,5,50969.91,18291.23,0.6411367020267449,No
22,7,7,2685.57,18291.05,0.8531757334871426,No
22,8,8,2685.14,32.96,0.9877250348212756,No
22,12,12,0.43,2.41,0.8215767634854773,No
22,DUMMY,9,0.0,2.86,1.0,Yes
22,DUMMY,10,0.0,2.43,1.0,Yes
22,DUMMY,13,0.0,0.0,1.0,Yes
23,2,2,514257.89,486888.02,0.053222071128553795,No
23,3,3,513257.89,486888.02,0.05137742743711157,No
23,4,9,52025.48,452106.13,0.8849263999141087,No
23,5,7,52025.05,452106.38,0.884927414649623,No
23,7,6,52024.27,452106.8,0.8849292468062856,No
23,8,12,3691.93,3800.89,0.028666970104370304,No
23,9,11,3691.5,3801.32,0.02888996453863399,No
23,DUMMY,4,0.0,453106.95,1.0,Yes
23,DUMMY,5,0.0,452106.95,1.0,Yes
23,DUMMY,10,0.0,3831.41,1.0,Yes
23,DUMMY,13,0.0,25.45,1.0,Yes
23,DUMMY,15,0.0,25.38,1.0,Yes
23,DUMMY,16,0.0,0.0,1.0,Yes
23,DUMMY,17,0.0,2086.86,1.0,Yes
23,DUMMY,18,0.0,0.0,1.0,Yes
23,DUMMY,23,0.0,0.15,1.0,Yes
24,2,2,545441.94,327155.04,0.40020189866587813,No
24,3,3,544441.94,327155.04,0.3991002236161307,No
24,4,16,83681.99,240724.9,0.6523750139682267,No
24,5,9,83656.54,244097.96,0.6572829203488632,No
24,6,8,83656.11,292382.33,0.7138811021856212,No
24,8,6,83656.1,292382.34,0.7138811461731923,No
24,9,5,66509.69,292382.76,0.7725252679056727,No
24,10,4,66509.26,293382.76,0.7733020849623202,No
24,12,10,66509.25,2685.57,0.9596211053349722,No
24,13,17,2.43,2.43,0.0,No
24,15,11,2.41,2685.14,0.9991024676553178,No
24,16,DUMMY,0.0,0.0,1.0,Yes
24,19,13,25.45,2685.12,0.9905218388749851,No
25,2,2,545441.93,327155.04,0.4002018876693254,No
25,3,3,544441.93,327155.04,0.39910021257914513,No
25,4,16,83681.98,240724.9,0.6523750555094217,No
25,5,9,83656.53,244097.96,0.6572829613160225,No
25,6,8,83656.1,292382.33,0.7138811363874144,No
25,8,6,83656.09,292382.34,0.7138811803749844,No
25,9,5,66509.69,292382.76,0.7725252679056727,No
25,10,4,66509.26,293382.76,0.7733020849623202,No
25,12,10,66509.25,2685.57,0.9596211053349722,No
25,13,17,2.43,2.43,0.0,No
25,15,11,2.41,2685.14,0.9991024676553178,No
25,16,DUMMY,0.0,0.0,1.0,Yes
25,19,13,25.45,2685.12,0.9905218388749851,No
26,2,9,544506.39,244097.96,0.5517078137503585,No
26,3,8,543506.39,292382.33,0.46204435609303507,No
26,4,6,525406.45,292382.34,0.4435120847869301,No
26,6,5,525406.44,292382.76,0.44351127481421804,No
26,7,4,525401.85,293382.76,0.4416031081732963,No
26,8,3,525401.42,327155.04,0.3773236471268008,No
26,9,2,524802.46,327155.04,0.37661298310225144,No
26,10,16,64572.78,240724.9,0.7317569557615352,No
26,12,10,64572.34,2685.57,0.9584099012053768,No
26,13,DUMMY,2.86,0.0,1.0,Yes
26,14,17,2.43,2.43,0.0,No
26,16,DUMMY,2.41,0.0,1.0,Yes
26,17,DUMMY,0.0,0.0,1.0,Yes
26,19,13,598.96,2685.12,0.7769336193540698,No
26,20,11,28.76,2685.14,0.9892891990734188,No
27,2,10,494237.15,2685.57,0.9945662320203975,No
27,3,16,493237.15,240724.9,0.5119489681586231,No
27,4,9,476655.12,244097.96,0.48789397248056415,No
27,5,8,476654.69,292382.33,0.3865950841687931,No
27,6,6,476654.26,292382.34,0.3865945098235354,No
27,8,5,476654.25,292382.76,0.38659361581271956,No
27,9,4,441496.6,293382.76,0.3354812698444336,No
27,10,3,441496.18,327155.04,0.25898557038477665,No
27,12,2,441493.52,327155.04,0.25898110577025013,No
27,13,13,25.45,2685.12,0.9905218388749851,No
27,17,17,0.42,2.43,0.8271604938271605,No
27,DUMMY,11,0.0,2685.14,1.0,Yes
27,DUMMY,14,0.0,0.0,1.0,Yes
28,2,10,499653.93,2685.57,0.9946251398442918,No
28,3,16,498653.93,240724.9,0.5172505709520829,No
28,4,9,482065.24,244097.96,0.4936412341200955,No
28,5,8,482064.81,292382.33,0.3934792087395883,No
28,6,6,482064.38,292382.34,0.39347864698072066,No
28,7,5,482063.96,292382.76,0.39347724729307704,No
28,9,4,482063.94,293382.76,0.3914028085154015,No
28,10,3,441496.18,327155.04,0.25898557038477665,No
28,12,2,441493.52,327155.04,0.25898110577025013,No
28,13,13,25.45,2685.12,0.9905218388749851,No
28,17,17,0.42,2.43,0.8271604938271605,No
28,DUMMY,11,0.0,2685.14,1.0,Yes
28,DUMMY,14,0.0,0.0,1.0,Yes
29,2,16,564415.61,240724.9,0.573497090202732,No
29,3,9,563415.61,244097.96,0.5667532889264464,No
29,4,8,545964.39,292382.33,0.4644662997159943,No
29,5,14,0.0,0.0,0.0,No
29,6,6,545117.14,292382.34,0.4636339264621178,No
29,7,5,449710.27,292382.76,0.3498419326736745,No
29,8,4,449709.84,293382.76,0.34761765497503905,No
29,9,2,449709.41,327155.04,0.2725190251189096,No
29,10,11,5388.18,2685.14,0.5016610432465137,No
29,12,10,4767.92,2685.57,0.4367418077484521,No
29,14,3,443401.06,327155.04,0.26216901691664884,No
29,15,17,25.45,2.43,0.9045186640471513,No
29,19,15,0.43,0.43,0.0,No
29,DUMMY,13,0.0,2685.12,1.0,Yes
30,2,10,564415.61,50971.36,0.909691796086221,No
30,3,9,563415.61,51971.36,0.9077566203747888,No
30,4,8,545964.39,85743.61,0.8429501784905788,No
30,5,7,0.0,0.0,0.0,No
30,6,6,545117.14,85743.62,0.8427060649753189,No
30,7,5,449710.27,85744.04,0.8093349302429763,No
30,8,4,449709.84,85744.19,0.8093344143859517,No
30,9,2,449709.41,88337.69,0.8035671746339486,No
30,10,14,5388.18,2685.57,0.5015812389341113,No
30,12,13,4767.92,2685.73,0.4367082501384251,No
30,13,12,0.0,50971.35,1.0,No
30,14,3,443401.06,88337.69,0.8007724880044265,No
30,15,19,25.45,0.43,0.9831041257367387,No
30,DUMMY,15,0.0,2685.14,1.0,Yes
30,DUMMY,20,0.0,0.16,1.0,Yes
30,DUMMY,21,0.0,0.15,1.0,Yes
31,2,12,517176.99,50971.35,0.9014431210483669,No
31,3,10,517176.56,50971.36,0.9014430197687228,No
31,4,9,517176.14,51971.36,0.8995093625162213,No
31,5,8,517175.71,85743.61,0.8342079716002131,No
31,6,6,516175.71,85743.62,0.8338867592200339,No
31,7,7,0.0,0.0,0.0,No
31,8,5,516175.7,85744.04,0.8338859423254524,No
31,9,4,480146.38,85744.19,0.8214207300698592,No
31,10,3,480145.95,88337.69,0.8160190875295313,No
31,12,2,480122.38,88337.69,0.816010055602907,No
31,13,15,25.45,2685.14,0.9905219094721319,No
31,17,20,0.43,0.16,0.627906976744186,No
31,DUMMY,13,0.0,2685.73,1.0,Yes
31,DUMMY,14,0.0,2685.57,1.0,Yes
31,DUMMY,23,0.0,0.15,1.0,Yes
32,2,13,481366.36,693524.43,0.3059129005736684,No
32,3,14,481365.93,693524.43,0.30591352059508564,No
32,4,11,481365.51,696209.56,0.30859106559812255,No
32,5,12,481365.08,696209.56,0.30859168322825103,No
32,6,10,480365.08,735665.27,0.3470330874801253,No
32,7,15,0.0,0.0,0.0,No
32,8,8,480365.06,735665.29,0.3470331324181409,No
32,9,7,442234.08,736665.29,0.39968112248101173,No
32,10,6,442233.65,736665.72,0.3996820566049958,No
32,11,17,0.0,0.0,0.0,No
32,12,5,442214.3,736666.14,0.3997086658550643,No
32,13,16,25.45,2685.12,0.9905218388749851,No
32,15,4,25.38,736666.29,0.9999655474936963,No
32,17,2,0.43,770438.68,0.9999994418764124,No
32,DUMMY,3,0.0,770438.68,1.0,Yes
33,2,19,481366.36,693524.43,0.3059129005736684,No
33,3,20,481365.93,693524.43,0.30591352059508564,No
33,4,17,481365.51,696209.56,0.30859106559812255,No
33,5,18,481365.08,696209.56,0.30859168322825103,No
33,6,4,480365.08,739198.84,0.3501544455886862,No
33,7,14,0.0,0.0,0.0,No
33,8,2,480365.06,739199.27,0.3501548506669927,No
33,9,3,442234.08,739199.27,0.4017390195745188,No
33,10,6,442233.65,41989.25,0.9050518882947962,No
33,12,5,442214.3,42989.27,0.902786341373402,No
33,13,15,25.45,22.3,0.12377210216110014,No
33,17,13,0.43,2086.86,0.9997939488034656,No
33,18,11,0.43,4767.92,0.9999098139230523,No
33,19,9,0.42,4816.93,0.9999128075350897,No
33,DUMMY,7,0.0,8630.04,1.0,Yes
33,DUMMY,8,0.0,8592.37,1.0,Yes
33,DUMMY,16,0.0,0.0,1.0,Yes
33,DUMMY,21,0.0,0.0,1.0,Yes
34,2,13,533527.7,693524.43,0.23070092858877383,No
34,3,14,532527.7,693524.43,0.2321428388614949,No
34,4,11,515943.0,696209.56,0.2589257177106273,No
34,5,15,0.0,0.0,0.0,No
34,6,12,515940.62,696209.56,0.25892913622157104,No
34,7,10,481828.35,735665.27,0.3450440442838902,No
34,8,8,481827.92,735665.29,0.3450446465946491,No
34,9,7,481827.5,735665.44,0.3450453510497924,No
34,10,18,0.0,0.0,0.0,No
34,11,6,481824.9,769437.62,0.37379602000744383,No
34,12,5,26.31,770437.65,0.9999658505785639,No
34,13,4,25.88,770438.08,0.9999664087216458,No
34,14,2,25.45,770438.5,0.9999669668636757,No
34,18,3,0.43,770438.5,0.9999994418762821,No
35,2,13,513965.48,693524.43,0.2589078945640027,No
35,3,14,512965.48,693524.43,0.2603498048367237,No
35,4,11,479132.91,696209.56,0.31179785867921733,No
35,5,12,479132.48,696209.56,0.3117984763093458,No
35,6,10,479132.33,735665.27,0.3487087816446738,No
35,7,8,479131.9,735665.29,0.34870938385580214,No
35,8,7,479131.48,735665.44,0.34871008756371646,No
35,9,15,0.0,0.0,0.0,No
35,10,6,479130.88,769437.62,0.37729730449103854,No
35,11,16,25.45,2685.12,0.9905218388749851,No
35,13,5,25.38,770437.65,0.9999670576846809,No
35,17,4,0.15,770438.08,0.9999998053055736,No
35,DUMMY,2,0.0,770438.5,1.0,Yes
35,DUMMY,3,0.0,770438.5,1.0,Yes
35,DUMMY,17,0.0,0.0,1.0,Yes
36,2,19,480059.85,693524.43,0.3077967707640812,No
36,3,20,479059.85,693524.43,0.3092386810368022,No
36,4,17,445027.26,696209.56,0.36078547959036933,No
36,5,18,445027.09,696209.56,0.36078572376972246,No
