QueryNumber,OriginalNodeCount,SyntheticNodeCount,MatchedPairs,UnionNodes,JaccardDistance,AverageError,NoDifference,RootSimilarity,RootMatchNumber
60,19,33,9,43,0.7906976744186046,0.625868857792852,No,0,442
61,19,33,8,44,0.8181818181818181,0.6739354722708404,No,0,450
62,19,33,8,44,0.8181818181818181,0.67792371807284,No,0,458
63,19,33,8,44,0.8181818181818181,0.6776830046961416,No,0,466
64,19,33,9,43,0.7906976744186046,0.626300341305377,No,0,475
65,19,30,7,42,0.8333333333333334,0.6870148992111074,No,0,483
66,19,52,10,61,0.8360655737704918,0.5641060351520608,No,0,491
67,20,52,10,62,0.8387096774193549,0.5828650536924928,No,0,501
68,20,52,10,62,0.8387096774193549,0.5809987696822235,No,0,511
69,27,52,12,67,0.8208955223880597,0.5828130178327089,No,0,523
70,27,52,12,67,0.8208955223880597,0.6514416909436539,No,0,535
71,27,52,12,67,0.8208955223880597,0.5837547791389528,No,0,547
72,27,52,12,67,0.8208955223880597,0.5832004580602196,No,0,559
73,26,52,9,69,0.8695652173913043,0.6944012623455804,No,0,569
74,26,52,8,70,0.8857142857142857,0.7331822483433578,No,0,577
75,26,52,8,70,0.8857142857142857,0.7331822483433578,No,0,585
76,25,26,11,40,0.725,0.6107627752174171,No,0,595
77,24,27,11,40,0.725,0.5984496541259455,No,0,606
78,25,26,11,40,0.725,0.6884292475646409,No,0,617
79,28,24,10,42,0.7619047619047619,0.7051683032680068,No,0,628
80,28,24,10,42,0.7619047619047619,0.705178708931135,No,0,638
81,29,24,10,43,0.7674418604651163,0.7498486263112029,No,0,648
82,29,24,10,43,0.7674418604651163,0.749647827993464,No,0,658
83,28,31,13,46,0.7173913043478262,0.6626358327509095,No,0,670
84,28,31,12,47,0.7446808510638299,0.6079978553017907,No,0,683
85,28,31,12,47,0.7446808510638299,0.6290861391863715,No,0,695
86,31,36,12,55,0.7818181818181819,0.6773589809192965,No,0,707
87,31,36,12,55,0.7818181818181819,0.6773580192154591,No,0,719
88,25,26,9,42,0.7857142857142857,0.7396052699859204,No,0,728
89,25,26,9,42,0.7857142857142857,0.7396052352262532,No,0,737
90,25,26,9,42,0.7857142857142857,0.7397042231085083,No,0,746
91,30,37,8,59,0.864406779661017,0.7692537695215844,No,0,754
92,30,36,9,57,0.8421052631578947,0.7448876198282011,No,0,763
93,30,36,9,57,0.8421052631578947,0.7448264017593438,No,0,772
94,31,34,11,54,0.7962962962962963,0.6970685202050634,No,0,783
95,33,34,12,55,0.7818181818181819,0.7460580157053128,No,0,794
96,32,34,12,54,0.7777777777777778,0.6674709382036121,No,0,806
97,35,42,13,64,0.796875,0.6908008760429918,No,0,819
98,35,42,11,66,0.8333333333333334,0.7161836230182625,No,0,831
99,35,42,11,66,0.8333333333333334,0.7161836230182625,No,0,842
100,46,43,15,74,0.7972972972972973,0.7242568960080557,No,0,856
101,45,43,15,73,0.7945205479452055,0.7042857048736282,No,0,871
102,45,43,16,72,0.7777777777777778,0.7105186143585057,No,0,886
103,32,45,12,65,0.8153846153846154,0.6504417408882956,No,0,900
104,32,45,14,63,0.7777777777777778,0.595875777304448,No,0,913
105,32,32,13,51,0.7450980392156863,0.723867548475784,No,0,926
106,30,32,11,51,0.7843137254901961,0.7389573936741152,No,0,938
107,30,32,11,51,0.7843137254901961,0.7405007927481692,No,0,949
108,30,31,11,50,0.78,0.7372610524309938,No,0,959
109,16,31,9,38,0.7631578947368421,0.6765969243030646,No,0,968
110,16,31,9,38,0.7631578947368421,0.6765969243030646,No,0,977
111,35,24,11,48,0.7708333333333334,0.779507074532817,No,0,988
112,36,24,10,50,0.8,0.7709246950003071,No,0,999
113,36,24,9,51,0.8235294117647058,0.7916032603544295,No,0,1008
