QueryNumber,OriginalNodePath,SyntheticNodePath,OriginalNodeName,SyntheticNodeName,OriginalDepth,SyntheticDepth,OriginalSimilarityState,SyntheticSimilarityState,OriginalMatchNumber,SyntheticMatchNumber
3,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,6,13,0,0,13,13
3,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,2,8,0,0,15,15
3,Aggregate/Nested Loop/Gather/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Seq Scan,Seq Scan,Seq Scan,6,11,0,0,12,12
3,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,7,12,0,0,11,11
4,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,23,23
4,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,6,12,0,0,21,21
4,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,4,8,0,0,22,22
4,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,12,0,0,18,18
4,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Seq Scan,Seq Scan,Seq Scan,7,11,0,0,19,19
4,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,13,0,0,20,20
5,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,8,13,0,0,26,26
5,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,6,12,0,0,27,27
5,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,4,8,0,0,28,28
5,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,29,29
5,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,9,12,0,0,25,25
6,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,12,0,0,31,31
6,Aggregate,Sort,Aggregate,Sort,0,0,0,0,35,35
6,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,13,0,0,32,32
6,Aggregate/Gather/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,3,8,0,0,34,34
6,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,12,0,0,33,33
7,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,2,8,0,0,40,40
7,Aggregate/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,12,0,0,39,39
7,Aggregate,Sort,Aggregate,Sort,0,0,0,0,41,41
7,Aggregate/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,13,0,0,38,38
7,Aggregate/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,12,0,0,37,37
8,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,12,0,0,45,45
8,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,4,8,0,0,46,46
8,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,9,12,0,0,43,43
8,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,47,47
8,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,8,13,0,0,44,44
9,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,53,53
9,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,13,0,0,50,50
9,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,4,8,0,0,52,52
9,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,12,0,0,51,51
9,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,12,0,0,49,49
10,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,12,0,0,55,55
10,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,12,0,0,57,57
10,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,4,8,0,0,58,58
10,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,59,59
10,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,13,0,0,56,56
11,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,12,0,0,61,61
11,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,4,12,0,0,63,63
11,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,13,0,0,62,62
11,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,65,65
11,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,6,8,0,0,64,64
12,Aggregate,Sort,Aggregate,Sort,0,0,0,0,72,72
12,Aggregate/Gather/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Seq Scan,Seq Scan,Seq Scan,6,11,0,0,68,68
12,Aggregate/Gather/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,3,8,0,0,71,71
12,Aggregate/Gather/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,12,0,0,70,70
12,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,7,12,0,0,67,67
12,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,6,13,0,0,69,69
13,Aggregate,Sort,Aggregate,Sort,0,0,0,0,78,78
13,Aggregate/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,5,0,0,76,76
13,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Index Scan,Index Scan,Index Scan,2,8,0,0,77,77
13,Aggregate/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,8,0,0,74,74
13,Aggregate/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,9,0,0,75,75
14,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,85,85
14,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,6,5,0,0,83,83
14,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,9,0,0,82,82
14,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,7,10,0,0,81,81
14,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,8,0,0,80,80
14,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Index Scan,Index Scan,Index Scan,4,8,0,0,84,84
15,Aggregate/Gather/Nested Loop/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Index Scan,Index Scan,Index Scan,4,8,0,0,91,91
15,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,5,0,0,90,90
15,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,8,0,0,88,88
15,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,9,0,0,89,89
15,Aggregate,Sort,Aggregate,Sort,0,0,0,0,92,92
16,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Index Scan,Index Scan,Index Scan,2,8,0,0,96,96
16,Aggregate,Sort,Aggregate,Sort,0,0,0,0,97,97
16,Aggregate/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,5,0,0,95,95
16,Aggregate/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,9,0,0,94,94
17,Finalize Aggregate/Gather/Partial Aggregate/Hash Join/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Index Scan,Index Scan,Index Scan,5,8,0,0,102,102
17,Finalize Aggregate/Gather/Partial Aggregate/Hash Join/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,6,5,0,0,101,101
17,Finalize Aggregate/Gather/Partial Aggregate/Hash Join/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,9,10,0,0,99,99
17,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,103,103
17,Finalize Aggregate/Gather/Partial Aggregate/Hash Join/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,8,9,0,0,100,100
17,Finalize Aggregate/Gather/Partial Aggregate/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,5,8,0,0,98,98
18,Aggregate,Sort,Aggregate,Sort,0,0,0,0,110,110
18,Aggregate/Gather/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Index Scan,Index Scan,Index Scan,3,5,0,0,108,108
18,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,4,7,0,0,107,107
18,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,8,0,0,106,106
18,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,9,0,0,109,109
19,Aggregate,Sort,Aggregate,Sort,0,0,0,0,116,116
19,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,4,7,0,0,113,113
19,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,8,0,0,112,112
19,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Index Scan,Index Scan,Index Scan,2,5,0,0,114,114
19,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,8,0,0,115,115
20,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,8,0,0,121,121
20,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,4,7,0,0,119,119
20,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Index Scan,Index Scan,Index Scan,2,5,0,0,120,120
20,Aggregate/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,8,0,0,118,118
20,Aggregate,Sort,Aggregate,Sort,0,0,0,0,122,122
21,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,9,0,0,125,125
21,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,4,5,0,0,126,126
21,Aggregate,Sort,Aggregate,Sort,0,0,0,0,128,128
21,Aggregate/Gather/Nested Loop/Index Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Nested Loop/Index Scan,Index Scan,Index Scan,3,8,0,0,127,127
21,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,8,0,0,124,124
22,Aggregate,Sort,Aggregate,Sort,0,0,0,0,134,134
