QueryNumber,Tree,NodeName,Depth,SimilarityState,MatchNumber,ParentNode,NumberOfChildren
4,Original,Hash Join,5,16,0,Parallel Hash Join,2
4,Original,Parallel Seq Scan,6,0,21,Hash Join,0
4,Original,Hash,6,16,0,Hash Join,1
4,Original,Seq Scan,7,0,19,Hash,0
4,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
4,Original,Hash Join,6,16,0,Parallel Hash,2
4,Original,Parallel Seq Scan,7,0,20,Hash Join,0
4,Original,Hash,7,1,24,Hash Join,1
4,Original,Seq Scan,8,0,18,Hash,0
4,Original,Index Scan,4,0,22,Nested Loop,0
4,Synthetic,Sort,0,0,23,,1
4,Synthetic,GroupAggregate,1,16,0,Sort,1
4,Synthetic,Sort,2,16,0,GroupAggregate,1
4,Synthetic,Gather,3,16,0,Sort,1
4,Synthetic,Parallel Hash Join,4,16,0,Gather,2
4,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
4,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
4,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
4,Synthetic,Nested Loop,7,16,0,Nested Loop,2
4,Synthetic,Merge Join,8,16,0,Nested Loop,2
4,Synthetic,Sort,9,16,0,Merge Join,1
4,Synthetic,Parallel Hash Join,10,16,0,Sort,2
4,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
4,Synthetic,Parallel Seq Scan,12,0,21,Hash Join,0
4,Synthetic,Hash,12,16,0,Hash Join,1
4,Synthetic,Seq Scan,13,16,0,Hash,0
4,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
4,Synthetic,Hash Join,12,16,0,Parallel Hash,2
4,Synthetic,Parallel Seq Scan,13,0,20,Hash Join,0
4,Synthetic,Hash,13,16,0,Hash Join,1
4,Synthetic,Seq Scan,14,16,0,Hash,0
4,Synthetic,Sort,9,16,0,Merge Join,1
4,Synthetic,Hash Join,10,16,0,Sort,2
4,Synthetic,Seq Scan,11,0,19,Hash Join,0
4,Synthetic,Hash,11,1,24,Hash Join,1
4,Synthetic,Seq Scan,12,0,18,Hash,0
4,Synthetic,Index Scan,8,0,22,Nested Loop,0
4,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
5,Original,Finalize Aggregate,0,0,29,,1
5,Original,Gather,1,16,0,Finalize Aggregate,1
5,Original,Partial Aggregate,2,16,0,Gather,1
5,Original,Nested Loop,3,16,0,Partial Aggregate,2
5,Original,Nested Loop,4,16,0,Nested Loop,2
5,Original,Parallel Hash Join,5,16,0,Nested Loop,2
5,Original,Parallel Seq Scan,6,0,27,Parallel Hash Join,0
5,Original,Parallel Hash,6,16,0,Parallel Hash Join,1
5,Original,Hash Join,7,16,0,Parallel Hash,2
5,Original,Parallel Seq Scan,8,0,26,Hash Join,0
5,Original,Hash,8,1,30,Hash Join,1
5,Original,Seq Scan,9,0,25,Hash,0
5,Original,Index Scan,5,16,0,Nested Loop,0
5,Original,Index Scan,4,0,28,Nested Loop,0
5,Synthetic,Sort,0,0,29,,1
5,Synthetic,GroupAggregate,1,16,0,Sort,1
5,Synthetic,Sort,2,16,0,GroupAggregate,1
5,Synthetic,Gather,3,16,0,Sort,1
5,Synthetic,Parallel Hash Join,4,16,0,Gather,2
5,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
5,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
5,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
5,Synthetic,Nested Loop,7,16,0,Nested Loop,2
5,Synthetic,Merge Join,8,16,0,Nested Loop,2
5,Synthetic,Sort,9,16,0,Merge Join,1
5,Synthetic,Parallel Hash Join,10,16,0,Sort,2
5,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
5,Synthetic,Parallel Seq Scan,12,0,27,Hash Join,0
5,Synthetic,Hash,12,16,0,Hash Join,1
5,Synthetic,Seq Scan,13,16,0,Hash,0
5,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
5,Synthetic,Hash Join,12,16,0,Parallel Hash,2
5,Synthetic,Parallel Seq Scan,13,0,26,Hash Join,0
5,Synthetic,Hash,13,16,0,Hash Join,1
5,Synthetic,Seq Scan,14,16,0,Hash,0
5,Synthetic,Sort,9,16,0,Merge Join,1
5,Synthetic,Hash Join,10,16,0,Sort,2
5,Synthetic,Seq Scan,11,16,0,Hash Join,0
5,Synthetic,Hash,11,1,30,Hash Join,1
5,Synthetic,Seq Scan,12,0,25,Hash,0
5,Synthetic,Index Scan,8,0,28,Nested Loop,0
5,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
6,Original,Aggregate,0,0,35,,1
6,Original,Gather,1,16,0,Aggregate,1
6,Original,Nested Loop,2,16,0,Gather,2
6,Original,Nested Loop,3,16,0,Nested Loop,2
6,Original,Parallel Hash Join,4,16,0,Nested Loop,2
6,Original,Parallel Seq Scan,5,0,33,Parallel Hash Join,0
6,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
6,Original,Hash Join,6,16,0,Parallel Hash,2
6,Original,Parallel Seq Scan,7,0,32,Hash Join,0
6,Original,Hash,7,1,36,Hash Join,1
6,Original,Seq Scan,8,0,31,Hash,0
6,Original,Index Scan,4,16,0,Nested Loop,0
6,Original,Index Scan,3,0,34,Nested Loop,0
6,Synthetic,Sort,0,0,35,,1
6,Synthetic,GroupAggregate,1,16,0,Sort,1
6,Synthetic,Sort,2,16,0,GroupAggregate,1
6,Synthetic,Gather,3,16,0,Sort,1
6,Synthetic,Parallel Hash Join,4,16,0,Gather,2
6,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
6,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
6,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
6,Synthetic,Nested Loop,7,16,0,Nested Loop,2
6,Synthetic,Merge Join,8,16,0,Nested Loop,2
6,Synthetic,Sort,9,16,0,Merge Join,1
6,Synthetic,Parallel Hash Join,10,16,0,Sort,2
6,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
6,Synthetic,Parallel Seq Scan,12,0,33,Hash Join,0
6,Synthetic,Hash,12,16,0,Hash Join,1
6,Synthetic,Seq Scan,13,16,0,Hash,0
6,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
6,Synthetic,Hash Join,12,16,0,Parallel Hash,2
6,Synthetic,Parallel Seq Scan,13,0,32,Hash Join,0
6,Synthetic,Hash,13,16,0,Hash Join,1
6,Synthetic,Seq Scan,14,16,0,Hash,0
6,Synthetic,Sort,9,16,0,Merge Join,1
6,Synthetic,Hash Join,10,16,0,Sort,2
6,Synthetic,Seq Scan,11,16,0,Hash Join,0
6,Synthetic,Hash,11,1,36,Hash Join,1
6,Synthetic,Seq Scan,12,0,31,Hash,0
6,Synthetic,Index Scan,8,0,34,Nested Loop,0
6,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
7,Original,Aggregate,0,0,41,,1
7,Original,Nested Loop,1,16,0,Aggregate,2
7,Original,Gather,2,16,0,Nested Loop,1
7,Original,Nested Loop,3,16,0,Gather,2
7,Original,Parallel Hash Join,4,16,0,Nested Loop,2
7,Original,Parallel Seq Scan,5,0,39,Parallel Hash Join,0
7,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
7,Original,Hash Join,6,16,0,Parallel Hash,2
7,Original,Parallel Seq Scan,7,0,38,Hash Join,0
7,Original,Hash,7,1,42,Hash Join,1
7,Original,Seq Scan,8,0,37,Hash,0
7,Original,Index Scan,4,16,0,Nested Loop,0
7,Original,Index Scan,2,0,40,Nested Loop,0
7,Synthetic,Sort,0,0,41,,1
7,Synthetic,GroupAggregate,1,16,0,Sort,1
7,Synthetic,Sort,2,16,0,GroupAggregate,1
7,Synthetic,Gather,3,16,0,Sort,1
7,Synthetic,Parallel Hash Join,4,16,0,Gather,2
7,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
7,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
7,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
7,Synthetic,Nested Loop,7,16,0,Nested Loop,2
7,Synthetic,Merge Join,8,16,0,Nested Loop,2
7,Synthetic,Sort,9,16,0,Merge Join,1
7,Synthetic,Parallel Hash Join,10,16,0,Sort,2
7,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
7,Synthetic,Parallel Seq Scan,12,0,39,Hash Join,0
7,Synthetic,Hash,12,16,0,Hash Join,1
7,Synthetic,Seq Scan,13,16,0,Hash,0
7,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
7,Synthetic,Hash Join,12,16,0,Parallel Hash,2
7,Synthetic,Parallel Seq Scan,13,0,38,Hash Join,0
7,Synthetic,Hash,13,16,0,Hash Join,1
7,Synthetic,Seq Scan,14,16,0,Hash,0
7,Synthetic,Sort,9,16,0,Merge Join,1
7,Synthetic,Hash Join,10,16,0,Sort,2
7,Synthetic,Seq Scan,11,16,0,Hash Join,0
7,Synthetic,Hash,11,1,42,Hash Join,1
7,Synthetic,Seq Scan,12,0,37,Hash,0
7,Synthetic,Index Scan,8,0,40,Nested Loop,0
7,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
8,Original,Finalize Aggregate,0,0,47,,1
8,Original,Gather,1,16,0,Finalize Aggregate,1
8,Original,Partial Aggregate,2,16,0,Gather,1
8,Original,Nested Loop,3,16,0,Partial Aggregate,2
8,Original,Parallel Hash Join,4,16,0,Nested Loop,2
8,Original,Parallel Seq Scan,5,0,45,Parallel Hash Join,0
8,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
8,Original,Nested Loop,6,16,0,Parallel Hash,2
8,Original,Hash Join,7,16,0,Nested Loop,2
8,Original,Parallel Seq Scan,8,0,44,Hash Join,0
8,Original,Hash,8,1,48,Hash Join,1
8,Original,Seq Scan,9,0,43,Hash,0
8,Original,Index Scan,7,16,0,Nested Loop,0
8,Original,Index Scan,4,0,46,Nested Loop,0
8,Synthetic,Sort,0,0,47,,1
8,Synthetic,GroupAggregate,1,16,0,Sort,1
8,Synthetic,Sort,2,16,0,GroupAggregate,1
8,Synthetic,Gather,3,16,0,Sort,1
8,Synthetic,Parallel Hash Join,4,16,0,Gather,2
8,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
8,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
8,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
8,Synthetic,Nested Loop,7,16,0,Nested Loop,2
8,Synthetic,Merge Join,8,16,0,Nested Loop,2
8,Synthetic,Sort,9,16,0,Merge Join,1
8,Synthetic,Parallel Hash Join,10,16,0,Sort,2
8,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
8,Synthetic,Parallel Seq Scan,12,0,45,Hash Join,0
8,Synthetic,Hash,12,16,0,Hash Join,1
8,Synthetic,Seq Scan,13,16,0,Hash,0
8,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
8,Synthetic,Hash Join,12,16,0,Parallel Hash,2
8,Synthetic,Parallel Seq Scan,13,0,44,Hash Join,0
8,Synthetic,Hash,13,16,0,Hash Join,1
8,Synthetic,Seq Scan,14,16,0,Hash,0
8,Synthetic,Sort,9,16,0,Merge Join,1
8,Synthetic,Hash Join,10,16,0,Sort,2
8,Synthetic,Seq Scan,11,16,0,Hash Join,0
8,Synthetic,Hash,11,1,48,Hash Join,1
8,Synthetic,Seq Scan,12,0,43,Hash,0
8,Synthetic,Index Scan,8,0,46,Nested Loop,0
8,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
9,Original,Finalize Aggregate,0,0,53,,1
9,Original,Gather,1,16,0,Finalize Aggregate,1
9,Original,Partial Aggregate,2,16,0,Gather,1
9,Original,Nested Loop,3,16,0,Partial Aggregate,2
9,Original,Parallel Hash Join,4,16,0,Nested Loop,2
9,Original,Parallel Seq Scan,5,0,51,Parallel Hash Join,0
9,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
9,Original,Hash Join,6,16,0,Parallel Hash,2
9,Original,Parallel Seq Scan,7,0,50,Hash Join,0
9,Original,Hash,7,1,54,Hash Join,1
9,Original,Seq Scan,8,0,49,Hash,0
9,Original,Index Scan,4,0,52,Nested Loop,0
9,Synthetic,Sort,0,0,53,,1
9,Synthetic,GroupAggregate,1,16,0,Sort,1
9,Synthetic,Sort,2,16,0,GroupAggregate,1
9,Synthetic,Gather,3,16,0,Sort,1
9,Synthetic,Parallel Hash Join,4,16,0,Gather,2
9,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
9,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
9,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
9,Synthetic,Nested Loop,7,16,0,Nested Loop,2
9,Synthetic,Merge Join,8,16,0,Nested Loop,2
9,Synthetic,Sort,9,16,0,Merge Join,1
9,Synthetic,Parallel Hash Join,10,16,0,Sort,2
9,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
9,Synthetic,Parallel Seq Scan,12,0,51,Hash Join,0
9,Synthetic,Hash,12,16,0,Hash Join,1
9,Synthetic,Seq Scan,13,16,0,Hash,0
9,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
9,Synthetic,Hash Join,12,16,0,Parallel Hash,2
9,Synthetic,Parallel Seq Scan,13,0,50,Hash Join,0
9,Synthetic,Hash,13,16,0,Hash Join,1
9,Synthetic,Seq Scan,14,16,0,Hash,0
9,Synthetic,Sort,9,16,0,Merge Join,1
9,Synthetic,Hash Join,10,16,0,Sort,2
9,Synthetic,Seq Scan,11,16,0,Hash Join,0
9,Synthetic,Hash,11,1,54,Hash Join,1
9,Synthetic,Seq Scan,12,0,49,Hash,0
9,Synthetic,Index Scan,8,0,52,Nested Loop,0
9,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
10,Original,Finalize Aggregate,0,0,59,,1
10,Original,Gather,1,16,0,Finalize Aggregate,1
10,Original,Partial Aggregate,2,16,0,Gather,1
10,Original,Nested Loop,3,16,0,Partial Aggregate,2
10,Original,Parallel Hash Join,4,16,0,Nested Loop,2
10,Original,Parallel Seq Scan,5,0,57,Parallel Hash Join,0
10,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
10,Original,Hash Join,6,16,0,Parallel Hash,2
10,Original,Parallel Seq Scan,7,0,56,Hash Join,0
10,Original,Hash,7,1,60,Hash Join,1
10,Original,Seq Scan,8,0,55,Hash,0
10,Original,Index Scan,4,0,58,Nested Loop,0
10,Synthetic,Sort,0,0,59,,1
10,Synthetic,GroupAggregate,1,16,0,Sort,1
10,Synthetic,Sort,2,16,0,GroupAggregate,1
10,Synthetic,Gather,3,16,0,Sort,1
10,Synthetic,Parallel Hash Join,4,16,0,Gather,2
10,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
10,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
10,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
10,Synthetic,Nested Loop,7,16,0,Nested Loop,2
10,Synthetic,Merge Join,8,16,0,Nested Loop,2
10,Synthetic,Sort,9,16,0,Merge Join,1
10,Synthetic,Parallel Hash Join,10,16,0,Sort,2
10,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
10,Synthetic,Parallel Seq Scan,12,0,57,Hash Join,0
10,Synthetic,Hash,12,16,0,Hash Join,1
10,Synthetic,Seq Scan,13,16,0,Hash,0
10,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
10,Synthetic,Hash Join,12,16,0,Parallel Hash,2
10,Synthetic,Parallel Seq Scan,13,0,56,Hash Join,0
10,Synthetic,Hash,13,16,0,Hash Join,1
10,Synthetic,Seq Scan,14,16,0,Hash,0
10,Synthetic,Sort,9,16,0,Merge Join,1
10,Synthetic,Hash Join,10,16,0,Sort,2
10,Synthetic,Seq Scan,11,16,0,Hash Join,0
10,Synthetic,Hash,11,1,60,Hash Join,1
10,Synthetic,Seq Scan,12,0,55,Hash,0
10,Synthetic,Index Scan,8,0,58,Nested Loop,0
10,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
11,Original,Finalize Aggregate,0,0,65,,1
11,Original,Gather,1,16,0,Finalize Aggregate,1
11,Original,Partial Aggregate,2,16,0,Gather,1
11,Original,Parallel Hash Join,3,16,0,Partial Aggregate,2
11,Original,Parallel Seq Scan,4,0,63,Parallel Hash Join,0
11,Original,Parallel Hash,4,16,0,Parallel Hash Join,1
11,Original,Nested Loop,5,16,0,Parallel Hash,2
11,Original,Hash Join,6,16,0,Nested Loop,2
11,Original,Parallel Seq Scan,7,0,62,Hash Join,0
11,Original,Hash,7,1,66,Hash Join,1
11,Original,Seq Scan,8,0,61,Hash,0
11,Original,Index Scan,6,0,64,Nested Loop,0
11,Synthetic,Sort,0,0,65,,1
11,Synthetic,GroupAggregate,1,16,0,Sort,1
11,Synthetic,Sort,2,16,0,GroupAggregate,1
11,Synthetic,Gather,3,16,0,Sort,1
11,Synthetic,Parallel Hash Join,4,16,0,Gather,2
11,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
11,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
11,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
11,Synthetic,Nested Loop,7,16,0,Nested Loop,2
11,Synthetic,Merge Join,8,16,0,Nested Loop,2
11,Synthetic,Sort,9,16,0,Merge Join,1
11,Synthetic,Parallel Hash Join,10,16,0,Sort,2
11,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
11,Synthetic,Parallel Seq Scan,12,0,63,Hash Join,0
11,Synthetic,Hash,12,16,0,Hash Join,1
11,Synthetic,Seq Scan,13,16,0,Hash,0
11,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
11,Synthetic,Hash Join,12,16,0,Parallel Hash,2
11,Synthetic,Parallel Seq Scan,13,0,62,Hash Join,0
11,Synthetic,Hash,13,16,0,Hash Join,1
11,Synthetic,Seq Scan,14,16,0,Hash,0
11,Synthetic,Sort,9,16,0,Merge Join,1
11,Synthetic,Hash Join,10,16,0,Sort,2
11,Synthetic,Seq Scan,11,16,0,Hash Join,0
11,Synthetic,Hash,11,1,66,Hash Join,1
11,Synthetic,Seq Scan,12,0,61,Hash,0
11,Synthetic,Index Scan,8,0,64,Nested Loop,0
11,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
12,Original,Aggregate,0,0,72,,1
12,Original,Gather,1,16,0,Aggregate,1
12,Original,Nested Loop,2,16,0,Gather,2
12,Original,Parallel Hash Join,3,16,0,Nested Loop,2
12,Original,Hash Join,4,16,0,Parallel Hash Join,2
12,Original,Parallel Seq Scan,5,0,70,Hash Join,0
12,Original,Hash,5,16,0,Hash Join,1
12,Original,Seq Scan,6,0,68,Hash,0
12,Original,Parallel Hash,4,16,0,Parallel Hash Join,1
12,Original,Hash Join,5,16,0,Parallel Hash,2
12,Original,Parallel Seq Scan,6,0,69,Hash Join,0
12,Original,Hash,6,1,73,Hash Join,1
12,Original,Seq Scan,7,0,67,Hash,0
12,Original,Index Scan,3,0,71,Nested Loop,0
12,Synthetic,Sort,0,0,72,,1
12,Synthetic,GroupAggregate,1,16,0,Sort,1
12,Synthetic,Sort,2,16,0,GroupAggregate,1
12,Synthetic,Gather,3,16,0,Sort,1
12,Synthetic,Parallel Hash Join,4,16,0,Gather,2
12,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
12,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
12,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
12,Synthetic,Nested Loop,7,16,0,Nested Loop,2
12,Synthetic,Merge Join,8,16,0,Nested Loop,2
12,Synthetic,Sort,9,16,0,Merge Join,1
12,Synthetic,Parallel Hash Join,10,16,0,Sort,2
12,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
12,Synthetic,Parallel Seq Scan,12,0,70,Hash Join,0
12,Synthetic,Hash,12,16,0,Hash Join,1
12,Synthetic,Seq Scan,13,16,0,Hash,0
12,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
12,Synthetic,Hash Join,12,16,0,Parallel Hash,2
12,Synthetic,Parallel Seq Scan,13,0,69,Hash Join,0
12,Synthetic,Hash,13,16,0,Hash Join,1
12,Synthetic,Seq Scan,14,16,0,Hash,0
12,Synthetic,Sort,9,16,0,Merge Join,1
12,Synthetic,Hash Join,10,16,0,Sort,2
12,Synthetic,Seq Scan,11,0,68,Hash Join,0
12,Synthetic,Hash,11,1,73,Hash Join,1
12,Synthetic,Seq Scan,12,0,67,Hash,0
12,Synthetic,Index Scan,8,0,71,Nested Loop,0
12,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
13,Original,Aggregate,0,0,78,,1
13,Original,Nested Loop,1,16,0,Aggregate,2
13,Original,Gather,2,16,0,Nested Loop,1
13,Original,Nested Loop,3,16,0,Gather,2
13,Original,Parallel Hash Join,4,16,0,Nested Loop,2
13,Original,Parallel Seq Scan,5,0,76,Parallel Hash Join,0
13,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
13,Original,Hash Join,6,16,0,Parallel Hash,2
13,Original,Parallel Seq Scan,7,0,75,Hash Join,0
13,Original,Hash,7,1,79,Hash Join,1
13,Original,Seq Scan,8,0,74,Hash,0
13,Original,Index Scan,4,16,0,Nested Loop,0
13,Original,Index Scan,2,0,77,Nested Loop,0
13,Synthetic,Sort,0,0,78,,1
13,Synthetic,GroupAggregate,1,16,0,Sort,1
13,Synthetic,Gather Merge,2,16,0,GroupAggregate,1
13,Synthetic,Sort,3,16,0,Gather Merge,1
13,Synthetic,Parallel Hash Join,4,16,0,Sort,2
13,Synthetic,Parallel Seq Scan,5,0,76,Parallel Hash Join,0
13,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
