QueryNumber,OriginalNodeCount,SyntheticNodeCount,MatchedPairs,UnmatchedOriginal,UnmatchedSynthetic,HungarianAssignments,DummyAssignments,TotalAssignmentError,AverageAssignmentError,MaximumAssignmentError
75,26,52,8,18,44,44,26,29.32525700457952,0.6664831137404437,1.0
76,25,26,11,14,15,15,1,8.24816161936986,0.549877441291324,1.0
77,24,27,11,13,16,16,3,10.218425984922241,0.6386516240576401,1.0
78,25,26,11,14,15,15,1,8.607026247705164,0.5738017498470109,1.0
79,28,24,10,18,14,18,4,11.96886292189679,0.6649368289942661,1.0
80,28,24,10,18,14,18,4,11.968573130289641,0.6649207294605356,1.0
81,29,24,10,19,14,19,5,12.969605489228186,0.6826108152225361,1.0
82,29,24,10,19,14,19,5,12.763446475303498,0.6717603408054472,1.0
83,28,31,13,15,18,18,3,9.935683444530076,0.5519824135850042,1.0
84,28,31,12,16,19,19,3,10.115342378152839,0.5323864409554125,1.0
85,28,31,12,16,19,19,3,10.527607913257304,0.5540846270135423,1.0
86,31,36,12,19,24,24,5,11.210492583466094,0.4671038576444206,1.0
87,31,36,12,19,24,24,5,11.210400706319742,0.46710002942998924,1.0
88,25,26,9,16,17,17,1,10.223413347306968,0.6013772557239393,1.0
89,25,26,9,16,17,17,1,9.468241084329964,0.5569553579017626,1.0
90,25,26,9,16,17,17,1,10.2962630146806,0.6056625302753293,1.0
91,30,37,8,22,29,29,7,18.90720237287217,0.6519724956162818,1.0
92,30,36,9,21,27,27,6,12.024543764065475,0.4453534727431658,1.0
93,30,36,9,21,27,27,6,12.03291625059569,0.4456635648368774,1.0
94,31,34,11,20,23,23,3,10.753830931706094,0.46755786659591714,1.0
95,33,34,12,21,22,22,1,11.76870637385211,0.5349411988114595,1.0
96,32,34,12,20,22,22,2,12.197562440794494,0.5544346563997498,1.0
97,35,42,13,22,29,29,7,17.225521194292586,0.593983489458365,1.0
98,35,42,11,24,31,31,7,19.08032162439389,0.61549424594819,1.0
99,35,42,11,24,31,31,7,19.08032162439389,0.61549424594819,1.0
100,46,43,15,31,28,31,3,14.640980209415304,0.4722896841746872,1.0
101,45,43,15,30,28,30,2,14.3047415488199,0.47682471829399664,1.0
102,45,43,16,29,27,29,2,12.719864745838967,0.43861602571858505,1.0
103,32,45,12,20,33,33,13,19.23465577279686,0.58286835675142,1.0
104,32,45,14,18,31,31,13,20.950523409842614,0.6758233358013747,1.0
105,32,32,13,19,19,19,0,13.624197816952496,0.7170630429974998,0.9996159616305681
106,30,32,11,19,21,21,2,13.949074600968297,0.664241647665157,1.0
107,30,32,11,19,21,21,2,12.934223376170774,0.6159153988652749,1.0
108,30,31,11,19,20,20,1,7.662442750136826,0.3831221375068413,1.0
109,16,31,9,7,22,22,15,21.066220172736088,0.9575554623970949,1.0
110,16,31,9,7,22,22,15,21.066220172736088,0.9575554623970949,1.0
111,35,24,11,24,13,24,11,14.626084380070658,0.609420182502944,1.0
112,36,24,10,26,14,26,12,15.740984720984544,0.6054224892686363,1.0
113,36,24,9,27,15,27,12,19.141459401445385,0.7089429407942736,1.0
