QueryNumber,OriginalNodeCount,SyntheticNodeCount,T_IS_SIMILAR_Count,T_SUB_OP_DIF_Count,T_LEFT_EQ_RIGHT_Count,T_LEFT_SIMILAR_Count,T_RIGHT_SIMILAR_Count,T_LEFT_EQ_Count,T_RIGHT_EQ_Count,T_NO_CHILD_SIMILAR_Count,T_NP_SIMILAR_Count,T_NP_LEFT_EQ_RIGHT_Count,T_NP_LEFT_SIMILAR_Count,T_NP_RIGHT_SIMILAR_Count,T_NP_NOT_SIMILAR_Count,T_NO_DIFF_DONE_Count,T_EDIT_NODE_Count,RootSimilarity,RootMatchNumber,NoDifferenceDetected
34,21,21,14,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,225,No
35,18,21,12,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,232,No
36,19,24,10,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,237,No
37,22,24,12,4,0,0,0,0,0,0,0,0,0,0,0,30,0,0,244,No
38,21,24,14,4,0,0,0,0,0,0,0,0,0,0,0,27,0,0,253,No
39,20,27,12,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,261,No
40,21,26,16,4,0,0,0,0,0,0,0,0,0,0,0,27,0,0,269,No
41,22,26,16,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,279,No
42,23,23,16,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,289,No
43,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,299,No
44,23,23,16,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,309,No
45,24,26,24,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,321,No
46,24,23,18,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,333,No
47,24,23,18,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,344,No
48,25,18,12,4,0,0,0,0,0,0,0,0,0,0,0,27,0,0,352,No
49,22,18,12,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,360,No
50,21,18,12,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,368,No
51,22,18,12,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,376,No
52,24,18,12,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,384,No
53,25,18,12,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,391,No
54,24,18,12,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,398,No
55,25,18,12,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,405,No
56,22,18,12,2,0,0,0,0,0,0,0,0,0,0,0,26,0,0,412,No
57,22,21,14,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,419,No
58,22,21,14,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,426,No
59,22,21,14,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,433,No
60,19,33,16,2,0,0,0,0,0,0,0,0,0,0,0,34,0,0,442,No
61,19,33,14,2,0,0,0,0,0,0,0,0,0,0,0,36,0,0,450,No
62,19,33,14,2,0,0,0,0,0,0,0,0,0,0,0,36,0,0,458,No
63,19,33,14,2,0,0,0,0,0,0,0,0,0,0,0,36,0,0,466,No
64,19,33,16,2,0,0,0,0,0,0,0,0,0,0,0,34,0,0,475,No
65,19,30,14,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,483,No
66,19,52,16,4,0,0,0,0,0,0,0,0,0,0,0,51,0,0,491,No
67,20,52,16,4,0,0,0,0,0,0,0,0,0,0,0,52,0,0,501,No
68,20,52,16,4,0,0,0,0,0,0,0,0,0,0,0,52,0,0,511,No
69,27,52,20,4,0,0,0,0,0,0,0,0,0,0,0,55,0,0,523,No
70,27,52,20,4,0,0,0,0,0,0,0,0,0,0,0,55,0,0,535,No
71,27,52,20,4,0,0,0,0,0,0,0,0,0,0,0,55,0,0,547,No
72,27,52,20,4,0,0,0,0,0,0,0,0,0,0,0,55,0,0,559,No
73,26,52,16,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,569,No
74,26,52,14,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,577,No
75,26,52,14,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,585,No
76,25,26,18,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,595,No
77,24,27,18,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,606,No
78,25,26,18,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,617,No
79,28,24,18,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,628,No
80,28,24,18,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,638,No
81,29,24,18,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,648,No
82,29,24,18,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,658,No
83,28,31,22,4,0,0,0,0,0,0,0,0,0,0,0,33,0,0,670,No
84,28,31,24,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,683,No
85,28,31,22,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0,695,No
86,31,36,22,2,0,0,0,0,0,0,0,0,0,0,0,43,0,0,707,No
87,31,36,22,2,0,0,0,0,0,0,0,0,0,0,0,43,0,0,719,No
88,25,26,16,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,728,No
89,25,26,16,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,737,No
90,25,26,16,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,746,No
91,30,37,14,2,0,0,0,0,0,0,0,0,0,0,0,51,0,0,754,No
92,30,36,16,2,0,0,0,0,0,0,0,0,0,0,0,48,0,0,763,No
93,30,36,16,2,0,0,0,0,0,0,0,0,0,0,0,48,0,0,772,No
94,31,34,20,2,0,0,0,0,0,0,0,0,0,0,0,43,0,0,783,No
95,33,34,20,4,0,0,0,0,0,0,0,0,0,0,0,43,0,0,794,No
96,32,34,20,4,0,0,0,0,0,0,0,0,0,0,0,42,0,0,806,No
97,35,42,24,2,0,0,0,0,0,0,0,0,0,0,0,51,0,0,819,No
98,35,42,20,2,0,0,0,0,0,0,0,0,0,0,0,55,0,0,831,No
99,35,42,20,2,0,0,0,0,0,0,0,0,0,0,0,55,0,0,842,No
100,46,43,26,4,0,0,0,0,0,0,0,0,0,0,0,59,0,0,856,No
101,45,43,28,2,0,0,0,0,0,0,0,0,0,0,0,58,0,0,871,No
102,45,43,26,6,0,0,0,0,0,0,0,0,0,0,0,56,0,0,886,No
103,32,45,22,2,0,0,0,0,0,0,0,0,0,0,0,53,0,0,900,No
104,32,45,24,4,0,0,0,0,0,0,0,0,0,0,0,49,0,0,913,No
105,32,32,22,4,0,0,0,0,0,0,0,0,0,0,0,38,0,0,926,No
106,30,32,20,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,938,No
107,30,32,20,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,949,No
108,30,31,18,4,0,0,0,0,0,0,0,0,0,0,0,39,0,0,959,No
109,16,31,14,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,968,No
110,16,31,14,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,977,No
111,35,24,18,4,0,0,0,0,0,0,0,0,0,0,0,37,0,0,988,No
112,36,24,18,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,999,No
113,36,24,16,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1008,No
